(1) went to new D (2) went to new R (3) open seat to D (4) open seat to R (5) Pa: didn’t return,,,2011,2013,2015,2017,2019,State,BA,BS,JD,PhD,MBA,MPA/MPP,MA ,MS,MPH,MD,DMD,Other bachelors,Other postgrad,JDs,Has a non-JD postgraduate degree,Has a MD,Has a bachelors or above,JD + another postgrad degree,Has a postgraduate degree,BS and Replaced,BA,BA and Replaced,NO BA or BS and Replaced,New Member,BA (Replacement),BS (Replacement),JD (Replacement),PhD (Replacement,MBA (Replacement),MPA/MPP (Replacement),MA (Replacement),MS (Replacement),MPH (Replacement),MD (Replacement),DMD (Replacement),Other bachelors,Other postgrad,,
,"Henry Cuellar, D-Texas","Laredo Community College, A.A. 1976 (political science)
Georgetown U., B.S.F.S. 1978
U. of Texas, J.D. 1981
Laredo State U., M.B.A. 1982 (international trade)
U. of Texas, Ph.D. 1998 (government)",,,1,1,1,Texas,1,1,1,1,1,0,0,0,0,0,0,,,1,1,0,0,1,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Doug Collins, R-Ga.","North Georgia College, B.S. 1988 (political science)
New Orleans Baptist Theological Seminary, M.Div. 1996
John Marshall Law School (Ga.), J.D. 2008",,,1,1,1,Ga.,0,1,1,0,0,0,0,0,0,1,0,,,1,1,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jim Jordan, R-Ohio","U. of Wisconsin, B.S. 1986 (economics)
Ohio State U., M.A. 1991 (education)
Capital U., J.D. 2001",,,1,1,1,Ohio,0,1,1,0,0,0,1,0,0,0,0,,,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Stephen F. Lynch, D-Mass.","Wentworth Institute of Technology, B.S. 1988 (construction management)
Boston College, J.D. 1991
Harvard U., M.A. 1998 (public administration)",,,1,1,1,Mass.,0,1,1,0,0,0,1,0,0,0,0,,,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Tom Rice, R-S.C.","U. of South Carolina, B.S. 1979 (accounting)
U. of South Carolina, J.D. 1982
U. of South Carolina, M.Acc. 1982 (accounting)",,,1,1,1,S.C.,0,1,1,0,0,0,1,0,0,0,0,,,1,1,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Eliot L. Engel, D-N.Y.","Hunter-Lehman College, B.A. 1969 (history)
City U. of New York, Lehman College, M.A. 1973 (guidance & counseling)
New York Law School, J.D. 1987",,,1,1,1,N.Y.,1,0,1,0,0,0,1,0,0,0,0,,,1,1,0,0,1,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Hakeem Jeffries, D-N.Y.","State U. of New York, Binghamton, B.A. 1992 (African studies & political science)
Georgetown U., M.P.P. 1994
New York U., J.D. 1997",,,1,1,1,N.Y.,1,0,1,0,0,1,0,0,0,0,0,,,1,1,0,0,1,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Katherine M. Clark, D-Mass.","St. Lawrence U., B.A. 1985 (history)
Cornell U., J.D. 1989
Harvard U., M.P.A. 1997",,,1,1,1,Mass.,1,0,1,0,0,1,0,0,0,0,0,,,1,1,0,0,1,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"Jim Cooper, D-Tenn.","U. of North Carolina, B.A. 1975 (history & economics)
Oxford U., B.A., M.A. 1977 (Rhodes scholar)
Harvard U., J.D. 1980",,,1,1,1,Tenn.,1,0,1,0,0,0,1,0,0,0,0,,,1,1,0,0,1,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"William Keating, D-Mass.","Boston College, B.A. 1974 (political science)
Boston College, M.B.A. 1982
Suffolk U., J.D. 1985",,,1,1,1,Mass.,1,0,1,0,1,0,0,0,0,0,0,,,1,1,0,0,1,0,FALSE,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,,
