Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.
"ABERCROMBIE, Neil","['a Representative from Hawaii; born in Buffalo, Erie County, N.Y., \r', 'June 26, 1938; graduated from Williamsville High School, Williamsville, N.Y.; \r', 'B.A., Union College, Schenectady, N.Y., 1959; M.A., University of Hawaii, \r', 'Manoa, Hawaii, 1964; Ph.D., University of Hawaii, Manoa, Hawaii, 1974; \r', 'unsuccessful candidate for United States Senate in 1970; member of the Hawaii \r', 'state house of representatives, 1974-1978; member of the Hawaii state senate, \r', '1978-1986; elected as a Democrat to the Ninety-ninth Congress in a special \r', 'election to fill the vacancy caused by the resignation of United States \r', 'Representative Cecil Heftel (September 20, 1986-January 3, 1987); unsuccessful \r', 'candidate for election to the One Hundredth Congress in 1986; member of the \r', 'Honolulu city council, 1988-1991; elected to the One Hundred Second and to the \r', 'nine succeeding Congresses until his resignation on February 28, 2010 (January \r', '3, 1991-February 28, 2010); Governor of Hawaii, 2010-2014. \r', '</P><BR>\r', '<P><CENTER><FONT SIZE=4 COLOR=""#800040"">Bibliography</FONT></CENTER></P>Abercrombie, Neil, and Richard Hoyt. \r', '<i>Blood of Patriots</i>. New York: Forge, 1996; Abercrombie, Neil. \r', '&#148;Mumford, Mailer, and Machines: Staking a Claim for Man.&#148; Ph. D. Diss., \r', 'University of Hawaii, 1974.\r']",A000014,1,0,0,1,0,1,0,0,0,0
"ACKERMAN, Gary Leonard","['a Representative from New York; born in Brooklyn, Kings County, N.Y., November 19, 1942; graduated from Brooklyn Technical High School, Brooklyn, N.Y., 1960; B.A., Queens College, Flushing, N.Y., 1965; attended, St. John&#x2019;s University, Jamaica, N.Y., 1966; teacher; member of the New York state senate, 1979-1983; business owner; unsuccessful candidate for city council, New York City, N.Y., 1977; elected as a Democrat to the Ninety-eighth Congress, by special election, to fill the vacancy caused by the death of United States Representative Benjamin Rosenthal, and reelected to the fourteen succeeding Congresses (March 1, 1983-January 3, 2013); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012.\r']",A000022,1,0,0,0,0,0,0,0,0,0
"ADERHOLT, Robert","['a Representative from Alabama; born in Haleyville, Winston County, \r', 'Ala., July 22, 1965; B.A., Birmingham Southern College, Birmingham, Ala., 1987; \r', 'J.D., Samford University, Birmingham, Ala., 1990; lawyer, private practice; \r', 'Haleyville, Ala., municipal judge, 1992-1995; staff, Alabama Governor Fob \r', 'James, 1995-1996; elected as a Republican to the One Hundred Fifth and to the \r', 'ten succeeding Congresses (January 3, 1997-present).\r']",A000055,1,0,1,0,0,0,0,0,0,0
"AKIN, W. Todd","[' a Representative from Missouri; born in New York, N.Y., July 5, \r', '1947; B.S., Worcester Polytechnic Institute, Worcester, Mass., 1971; M.Div., \r', 'Covenant Seminary, St. Louis, Mo., 1984; United States Army, 1971-1980; member \r', 'of the Missouri state house of representatives, 1988-2001; elected as a \r', 'Republican to the One Hundred Seventh and to the five succeeding Congresses \r', '(January 3, 2001-January 3, 2013); was not a candidate for reelection to the \r', 'One Hundred Thirteenth Congress in 2012, but was an unsuccessful candidate for \r', 'election to the United States Senate. \r']",A000358,0,1,0,0,0,0,0,0,0,0
"ALLEN, Thomas H.","['a Representative from Maine; born in Portland, Cumberland County, \r', 'Maine, April 16, 1945; graduated from Deering High School, Portland, Maine, \r', '1963; B.A., Bowdoin College, Brunswick, Maine, 1967; Rhodes Scholar, B. Phil., \r', 'Oxford University, Oxford, England, 1970; J.D., Harvard University, Cambridge, \r', 'Mass., 1974; lawyer, private practice; staff, Governor Kenneth B. Curtis of \r', 'Maine, 1968; staff, United States Senator Edmund S. Muskie, 1970-1971; \r', 'Portland, Maine, city council, 1989-1995; mayor of Portland, Maine, 1991-1992; \r', 'elected as a Democrat to the One Hundred Fifth and to the five succeeding \r', 'Congresses (January 3, 1997-January 3, 2009); not a candidate for reelection in \r', '2008, but was an unsuccessful candidate for the United States \r', 'Senate.\r', '</P><BR>\r', '<P><CENTER><FONT SIZE=4 COLOR=""#800040"">Bibliography</FONT></CENTER></P>Allen, Thomas H. \r', '<i>Dangerous Convictions: What&#146;s Really Wrong with the U. S. \r', 'Congress.</italic> New York: Oxford University Press, 2013.\r']",A000357,1,0,1,0,0,0,0,0,0,0
"ANDREWS, Robert Ernest","['a Representative from New Jersey; born in Camden, Camden County, \r', 'N.J., August 4, 1957; graduated from Triton High School, Runnemede, N.J., 1975; \r', 'B.S., Bucknell University, Lewisburg, Pa., 1979; J.D., Cornell Law School, \r', 'Ithaca, N.Y., 1982; freeholder, Camden County, N.J., 1986-1990; freeholder \r', 'director, Camden County, N.J., 1988-1990; elected as a Democrat by special \r', 'election to the One Hundred First Congress, to fill the vacancy caused by the \r', 'resignation of United States Representative James Florio and reelected to the \r', 'twelve succeeding Congresses until his resignation on February 18, 2014 (November 6, 1990-February 18, 2014).\r']",A000210,0,1,1,0,0,0,0,0,0,0
"ARMEY, Richard Keith","['a Representative from Texas; born in Cando, Towner County, N. Dak., \r', 'July 7, 1940; graduated from Cando High School, Cando, N. Dak., 1958; B.A., \r', 'Jamestown College, Jamestown, N. Dak., 1963; M.A., University of North Dakota, \r', 'Grand Forks, N. Dak., 1964; Ph.D., University of Oklahoma, Oklahoma City, \r', 'Okla., 1968; professor, University of Montana, Missoula, Mont.; assistant \r', 'professor, West Texas Agricultural and Mechanical University, Canyon, Tex.; \r', 'assistant professor, Austin College, Sherman, Tex.; faculty and administrator, \r', 'University of North Texas, Denton, Tex.; distinguished fellow of the Fisher \r', 'Institute, Dallas, Tex.; elected as a Republican to the Ninety-ninth and to the \r', 'eight succeeding Congresses (January 3, 1985-January 3, 2003); majority leader \r', '(One Hundred Fourth through One Hundred Seventh Congresses); not a candidate \r', 'for reelection to the One Hundred Eighth Congress in 2002. \r', '</P><BR>\r', '<P><CENTER><FONT SIZE=4 COLOR=""#800040"">Bibliography</FONT></CENTER></P>Armey, Richard K., and Matt Kibbe. \r', '<i>Give Us Liberty: A Tea Party Manifesto</i>. New York: William \r', 'Morrow, 2010.\r']",A000217,1,0,0,1,0,1,0,0,0,0
"BACA, Joe","['a Representative from California; born in Belen, Valencia County, \r', 'N.Mex., January 23, 1947; B.A., California State University, Los Angeles, \r', 'Calif., 1971; United States Army, 1966-1968; member of the California state \r', 'assembly, 1992-1999; member of the California state senate, 1999; elected as a \r', 'Democrat to the One Hundred Sixth Congress, by special election, to fill the \r', 'vacancy caused by the death of United States Representative George E. Brown, \r', 'and reelected to the six succeeding Congresses (November 16, 1999-January 3, \r', '2013); unsuccessful candidate for reelection to the One Hundred Thirteenth \r', 'Congress in 2012; unsuccessful candidate for reelection to the One Hundred \r', 'Fourteenth Congress in 2014; unsuccessful candidate for election as Mayor of \r', 'Fontana, Calif., in 2014; unsuccessful candidate for nomination as a Republican \r', 'to the One Hundred Fifteenth Congress in 2016.\r', '</P><BR>\r', '<P><CENTER><FONT SIZE=4 COLOR=""#800040"">Bibliography</FONT></CENTER></P>&#148;Joe Baca&#148; in \r', '<i>Hispanic Americans in Congress, 1822-2012</i>. Prepared under the \r', 'direction of the Committee on House Administration by the Office of the \r', 'Historian and the Office of the Clerk, U.S. House of Representatives. \r', 'Washington: Government Printing Office, 2013.\r']",B001234,1,0,0,0,0,0,0,0,0,0
"BACHUS, Spencer T., III","['a Representative from Alabama; born in Birmingham, Jefferson County, \r', 'Ala., December 28, 1947; B.A., Auburn University, Auburn, Ala., 1969; J.D., \r', 'University of Alabama School of Law, Tuscaloosa, Ala., 1972; National Guard, \r', '1969-1971; lawyer, private practice; member of the Alabama state senate, \r', '1983-1984; member of the Alabama state house of representatives, 1984-1987; \r', 'member, Alabama state board of education, 1987-1991; chairman, Alabama \r', 'Republican executive committee, 1991-1992; elected as a Republican to the One \r', 'Hundred Third and to the ten succeeding Congresses (January 3, 1993-January 3, \r', '2015); chair, Committee on Financial Services (One Hundred Twelfth Congress); \r', 'was not a candidate for reelection to the One Hundred Fourteenth Congress in \r', '2014.\r']",B000013,1,0,1,0,0,0,0,0,0,0
"BAIRD, Brian","['a Representative from Washington; born in Chama, Rio Arriba County, \r', 'N.Mex., March 7, 1956; B.S., University of Utah, Provo, Utah, 1977; M.S., \r', 'University of Wyoming, Laramie, Wyo., 1980; Ph.D., University of Wyoming, \r', 'Laramie, Wyo., 1984; clinical psychologist; professor, Pacific Lutheran \r', 'University, Tacoma, Wash., 1986-1998; unsuccessful candidate for election to \r', 'the One Hundred Fifth Congress in 1996; elected as a Democrat to the One \r', 'Hundred Sixth Congress and to the five succeeding Congresses (January 3, \r', '1999-January 3, 2011); was not a candidate for reelection to the One Hundred \r', 'Twelfth Congress in 2010. \r']",B001229,0,1,0,1,0,0,1,0,0,0
