Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.,non-JD,none
"ADERHOLT, Robert","['a Representative from Alabama; born in Haleyville, Winston County, \r', 'Ala., July 22, 1965; B.A., Birmingham Southern College, Birmingham, Ala., 1987; \r', 'J.D., Samford University, Birmingham, Ala., 1990; lawyer, private practice; \r', 'Haleyville, Ala., municipal judge, 1992-1995; staff, Alabama Governor Fob \r', 'James, 1995-1996; elected as a Republican to the One Hundred Fifth and to the \r', 'ten succeeding Congresses (January 3, 1997-present).\r']",A000055,1,0,1,0,0,0,0,0,0,0,0,0
"ALEXANDER, Rodney","['a Representative from Louisiana; born in Quitman, Jackson Parish, \r', 'La., December 5, 1946; graduated from Jonesboro-Hodge High School, Jonesboro, \r', 'La., 1964; graduated, University of Louisiana-Monroe, Monroe, La.; United \r', 'States Air Force reserve, 1965-1971; insurance agent; businessman; member of \r', 'the Louisiana state house of representatives, 1987-2002; elected as a Democrat \r', 'to the One Hundred Eighth Congress; changed from a Democrat to a Republican on \r', 'August 9, 2004; reelected as a Republican to the One Hundred Ninth and to the \r', 'four succeeding Congresses until his resignation on September 27, 2013 (January \r', '3, 2003- September 27, 2013).\r']",A000361,0,0,0,0,0,0,0,0,0,0,0,1
"AMASH, Justin","['a Representative from Michigan; born in Grand Rapids, Kent County, \r', 'Mich., April 18, 1980; graduated from Grand Rapids Christian High School, Grand \r', 'Rapids, Mich., 1998; A.B., University of Michigan, Ann Arbor, Mich., 2002; \r', 'J.D., University of Michigan, Ann Arbor, Mich., 2005; lawyer, private practice; \r', 'member of the Michigan state house of representatives, 2008-2010; elected as a \r', 'Republican to the One Hundred Twelfth and to the three succeeding Congresses \r', '(January 3, 2011-present).\r']",A000367,1,0,1,0,0,0,0,0,0,0,0,0
"AMODEI, Mark E.","['a Representative from Nevada; born in Carson City, Carson City \r', 'County, Nev., June 12, 1958; graduated from Carson High School, Carson City, \r', 'Nev., 1976; B.A., University of Nevada, Reno, Nev., 1980; J.D., University of \r', 'the Pacific, McGeorge School of Law, Sacramento, Calif., 1983; Judge Advocate \r', 'General&#146;s Corps, United States Army, 1984-1987; lawyer, private practice; \r', 'member of the Nevada state assembly, 1997; member of the Nevada state senate, \r', '1999-2011, president pro tempore, 2003-2005; elected as a Republican to the One \r', 'Hundred Twelfth Congress, by special election, to fill the vacancy caused by \r', 'the resignation of United States Representative Dean Heller, and reelected to \r', 'the three succeeding Congresses (September 13, 2011-present).\r']",A000369,1,0,1,0,0,0,0,0,0,0,0,0
"ANDREWS, Robert Ernest","['a Representative from New Jersey; born in Camden, Camden County, \r', 'N.J., August 4, 1957; graduated from Triton High School, Runnemede, N.J., 1975; \r', 'B.S., Bucknell University, Lewisburg, Pa., 1979; J.D., Cornell Law School, \r', 'Ithaca, N.Y., 1982; freeholder, Camden County, N.J., 1986-1990; freeholder \r', 'director, Camden County, N.J., 1988-1990; elected as a Democrat by special \r', 'election to the One Hundred First Congress, to fill the vacancy caused by the \r', 'resignation of United States Representative James Florio and reelected to the \r', 'twelve succeeding Congresses until his resignation on February 18, 2014 (November 6, 1990-February 18, 2014).\r']",A000210,0,1,1,0,0,0,0,0,0,0,0,0
"BACHMANN, Michele","['a Representative from Minnesota; born in Waterloo, Black Hawk \r', 'County, Iowa, April 6, 1956; graduated from Anoka High School, Anoka, Minn., \r', '1974; B.A., Winona State University, Winona, Minn., 1978; J.D., Coburn School \r', 'of Law, Oral Roberts University, Tulsa, Okla., 1986; L.L.M., College of William \r', 'and Mary, Williamsburg, Va., 1988; lawyer, private practice; attorney, United \r', 'States Department of the Treasury; member of the Minnesota state senate, \r', '2001-2006; elected as a Republican to the One Hundred Tenth and to the three \r', 'succeeding Congresses (January 3, 2007-January 3, 2015); was not a candidate \r', 'for reelection to the One Hundred Fourteenth Congress in 2014.\r']",B001256,1,0,1,0,0,0,0,0,0,0,0,0
"BACHUS, Spencer T., III","['a Representative from Alabama; born in Birmingham, Jefferson County, \r', 'Ala., December 28, 1947; B.A., Auburn University, Auburn, Ala., 1969; J.D., \r', 'University of Alabama School of Law, Tuscaloosa, Ala., 1972; National Guard, \r', '1969-1971; lawyer, private practice; member of the Alabama state senate, \r', '1983-1984; member of the Alabama state house of representatives, 1984-1987; \r', 'member, Alabama state board of education, 1987-1991; chairman, Alabama \r', 'Republican executive committee, 1991-1992; elected as a Republican to the One \r', 'Hundred Third and to the ten succeeding Congresses (January 3, 1993-January 3, \r', '2015); chair, Committee on Financial Services (One Hundred Twelfth Congress); \r', 'was not a candidate for reelection to the One Hundred Fourteenth Congress in \r', '2014.\r']",B000013,1,0,1,0,0,0,0,0,0,0,0,0
"BARBER, Ron","['a Representative from Arizona; born in Wakefield, England, August \r', '25, 1945; graduated from Rincon High School, Tucson, Ariz., 1963; B.A., \r', 'University of Arizona, Tucson, Ariz., 1967; businessman; staff and director, \r', 'Arizona department of economic security, division of developmental \r', 'disabilities, 1976-2006; staff, United States Representative Gabrielle \r', 'Giffords, 2007-2012; elected as a Democrat to the One Hundred Twelfth Congress, \r', 'by special election, to fill the vacancy caused by the resignation of United \r', 'States Representative Gabrielle Giffords, and reelected to the succeeding \r', 'Congress (June 12, 2012-January 3, 2015); was an unsuccessful candidate for \r', 'reelection to the One Hundred Fourteenth Congress in 2014.\r']",B001279,1,0,0,0,0,0,0,0,0,0,0,1
"BARLETTA, Lou","[' a Representative from Pennsylvania; born in Hazleton, Luzerne \r', 'County, Pa., January 28, 1956; graduated from Hazleton High School, Hazleton, \r', 'Pa., 1974; attended Bloomsburg University, Bloomsburg, Pa.; professional \r', 'athlete; business owner; member of the Hazleton, Pa., city council, 1998-2000; \r', 'Mayor of Hazleton, Pa., 2000-2010; elected as a Republican to the One Hundred \r', 'Twelfth and to the three succeeding Congresses (January 3, \r', '2011-present).\r']",B001269,0,0,0,0,0,0,0,0,0,0,0,1
"BARR, Garland H. (Andy) IV","['a Representative from Kentucky; born in Lexington, Fayette County, \r', 'Ky., July 24, 1973; graduated from Henry Clay High School, Lexington, Ky., \r', '1992; B.A., University of Virginia, Charlottesville ,Va., 1996; J.D., \r', 'University of Kentucky, Lexington, Ky., 2001; lawyer, private practice; staff, \r', 'United States Representative Jim Talent, 1996-1998; instructor, Morehead State \r', 'University, Morehead, Ky.; unsuccessful candidate for election to the One \r', 'Hundred Twelfth Congress in 2010; elected as a Republican to the One Hundred \r', 'Thirteenth and to the two succeeding Congresses (January 3, \r', '2013-present).\r']",B001282,1,0,1,0,0,0,0,0,0,0,0,0
