Name,Bio,Identifier,BA,BS,JD,PhD,MBA,MA ,MS,MPA/MPP/MPH,MD,Other Masters
Andy Levin,Michigan,1,1,0,1,0,0,1,0,0,0,0
Chip Roy,Texas,2,0,1,1,0,0,0,1,0,0,0
Harley Rouda Jr,California,3,1,0,1,0,1,0,0,0,0,0
John Rose,Tennessee,4,0,1,1,0,0,0,1,0,0,0
Mikie Sherrill,New Jersey,5,0,1,1,0,0,0,1,0,0,0
William Timmons,South Carolina,6,1,0,1,0,0,1,0,0,0,0
Abigail Spanberger,Virginia,7,1,0,0,0,1,0,0,0,0,0
Anthony Gonzalez,Ohio,8,1,0,0,0,1,0,0,0,0,0
Chrissy Houlahan,Pennsylvania,9,0,1,0,0,0,0,1,0,0,0
Cindy Axne,Iowa,10,1,0,0,0,1,0,0,0,0,0
Dan Crenshaw,Texas,11,1,0,0,0,0,0,0,1,0,0
David Trone,Maryland,12,1,0,0,0,1,0,0,0,0,0
Dean Phillips,Minnesota,13,1,0,0,0,1,0,0,0,0,0
Debbie Mucarsel-Powell,Florida,14,1,0,0,0,0,1,0,0,0,0
Donna Shalala,Florida,15,1,0,0,1,0,1,0,0,0,0
Dusty Johnson,South Dakota,16,1,0,0,0,0,0,0,1,0,0
Elaine Luria,Virginia,17,0,1,0,0,0,0,1,0,0,0
Elissa Slotkin,Michigan,18,1,0,0,0,0,1,0,0,0,0
Gil Cisneros,California,19,1,0,0,0,1,1,0,0,0,0
Greg Gianforte,Montana,20,0,1,0,0,0,0,1,0,0,0
Greg Pence,Indiana,21,1,0,0,0,1,0,0,0,0,0
Haley Stevens,Michigan,22,1,0,0,0,0,1,0,0,0,0
Jeff Van Drew,New Jersey,23,0,1,0,0,0,0,0,0,0,1
Jesus Garcia,Illinois,24,1,0,0,0,0,0,0,1,0,0
Jim Baird,Indiana,25,0,1,0,1,0,0,1,0,0,0
Jimmy Gomez,California,26,1,0,0,0,0,0,0,1,0,0
John Joyce,Pennsylvania,27,0,1,0,0,0,0,0,0,1,0
Josh Harder,California,28,1,0,0,0,1,0,0,1,0,0
Katie Hill,California,29,1,0,0,0,0,0,0,1,0,0
Kevin Hern,Oklahoma,30,0,1,0,0,1,0,0,0,0,0
Kim Schrier,Washington,31,0,1,0,0,0,0,0,0,1,0
Lauren Underwood,Illinois,32,0,1,0,0,0,0,1,1,0,0
Mark Green,Tennessee,33,0,1,0,0,0,1,0,0,1,0
Max Rose,New York,34,1,0,0,0,0,0,1,0,0,0
Ron Estes,Kansas,35,0,1,0,0,1,0,0,0,0,0
Russ Fulcher,Idaho,36,1,0,0,0,1,0,0,0,0,0
Sean Casten,Illinois,37,1,0,0,0,0,0,1,0,0,0
Steve Watkins,Kansas,38,0,1,0,0,0,0,1,1,0,0
Susie Lee,Nevada,39,1,0,0,0,0,0,1,0,0,0
